	278
'eclat	1
'ecoles	1
'et'e	1
'etat	1
0	7
000	6
001	1
002	1
003	1
004	1
005	1
006	1
007	1
008	1
009	1
010	1
011	1
012	1
013	1
014	1
015	2
016	1
017	1
018	1
019	1
020	1
021	1
022	1
023	1
024	1
025	1
026	1
027	1
028	1
029	1
030	1
031	1
032	1
033	1
034	1
035	1
036	1
037	1
038	2
039	1
040	1
041	1
042	1
043	1
044	1
045	1
046	1
047	1
048	1
049	1
050	1
051	1
052	1
053	1
054	1
055	1
056	1
057	1
058	1
059	1
060	1
061	1
062	1
063	1
064	1
065	1
066	1
067	1
068	1
069	1
070	1
071	1
072	1
073	1
074	1
075	1
076	1
077	1
078	1
079	1
080	1
081	1
082	1
083	1
084	1
085	1
086	1
087	1
088	1
089	1
090	1
091	1
092	1
093	1
094	1
095	1
096	1
097	1
098	1
099	1
1	203
10	15
100	6
1004	1
101	4
102	3
103	4
104	5
105	4
1058	1
106	4
107	5
108	3
109	2
11	13
110	3
1100	1
111	3
112	4
113	3
114	4
115	3
116	3
117	3
118	3
119	3
11th	1
12	15
120	3
121	4
122	2
123	4
124	4
125	3
126	3
127	4
128	4
129	3
12th	2
13	14
130	3
131	4
132	3
133	3
134	2
135	4
136	4
137	3
138	4
139	3
1399	3
13th	1
14	13
140	3
141	3
142	6
143	4
144	3
145	3
146	2
147	4
148	4
149	3
15	16
150	4
1500	4
151	3
152	3
153	3
154	4
155	4
156	5
157	3
158	3
159	4
15th	1
16	13
160	3
161	3
162	5
163	3
164	3
165	3
166	6
167	3
168	4
169	3
17	24
170	3
171	5
172	3
1720	1
1728	1
173	3
174	3
175	3
176	4
177	3
178	3
179	3
17th	1
18	16
180	4
181	6
182	4
183	3
184	3
1841	1
185	3
186	3
1863	1
1864	1
187	2
188	3
1887	4
189	4
18th	3
19	14
190	3
191	4
192	4
193	3
194	3
195	5
196	3
197	3
198	6
199	3
19th	1
2	28
20	18
200	3
2001	4
201	4
202	3
203	3
204	4
205	3
206	3
207	3
208	3
209	3
21	13
210	3
211	4
212	4
213	5
214	4
215	3
216	3
217	4
218	3
219	3
22	14
220	3
221	5
222	4
223	3
224	2
225	3
226	3
227	4
228	3
229	3
23	13
230	3
231	4
232	3
233	3
234	3
235	4
236	4
237	3
238	3
239	3
24	11
240	4
241	3
242	3
243	3
244	2
245	5
246	4
247	3
248	5
249	4
25	12
250	4
251	3
252	4
253	3
254	3
255	3
256	3
257	5
258	3
259	3
26	12
260	3
261	4
262	3
263	4
264	3
265	3
266	4
267	3
268	3
269	3
26th	1
27	11
270	3
271	3
272	4
273	3
274	3
275	4
276	4
277	3
278	3
279	3
27th	1
28	12
280	3
281	2
282	3
283	2
284	4
285	3
286	4
287	3
288	3
289	5
28th	1
29	9
290	3
291	3
292	3
293	4
294	3
295	3
296	3
297	3
298	3
299	4
2d	1
2nd	3
3	62
30	14
300	4
301	1
302	1
303	1
304	2
305	1
306	1
307	1
308	1
309	1
30th	1
31	9
310	1
311	2
312	2
313	1
314	1
315	3
316	1
317	2
318	1
319	1
31st	1
32	8
320	1
321	1
322	1
323	2
324	1
325	1
326	1
327	1
328	1
329	1
33	7
330	1
331	1
332	1
333	1
334	1
335	2
336	2
337	1
338	2
339	2
34	7
340	2
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
35	5
350	2
351	2
352	1
353	1
354	1
355	1
356	1
357	1
358	3
359	1
36	4
360	2
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	2
37	2
370	1
371	1
372	1
373	1
374	2
375	1
376	1
377	1
378	1
379	1
38	4
380	1
381	1
382	1
383	2
384	1
385	1
386	2
387	2
388	1
389	1
39	3
390	1
391	1
392	1
393	2
394	1
395	1
396	1
397	1
398	1
399	2
4	37
40	4
400	1
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	2
409	1
41	3
410	1
411	2
412	1
413	1
414	1
415	1
416	1
417	1
418	1
419	1
42	3
420	1
421	1
422	1
423	1
424	1
425	1
426	1
427	2
428	1
429	1
43	3
430	1
431	1
432	1
433	1
434	1
435	1
436	2
437	2
438	1
439	1
44	4
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	1
45	3
450	2
451	1
452	1
453	2
4557	2
46	2
463	2
47	3
478	1
479	1
48	3
480	1
486	1
487	1
49	3
490	1
493	1
496	1
4to	1
5	33
50	7
501	6
51	4
510	1
52	3
522	1
527	1
528	1
53	3
531	1
54	4
55	3
555	1
556	1
559	1
56	2
57	3
58	5
59	2
596	4
5th	2
6	27
60	7
61	4
6130	3
62	2
6221541	4
623	1
63	2
630	1
639	1
64	7
644	1
646	1
65	2
658	1
66	2
660	1
669	1
67	3
670	1
673	1
675	1
68	3
687	1
69	2
7	29
70	3
700	1
708	1
71	2
713	1
72	3
73	2
736	1
738	1
74	2
742	2
75	4
750175	2
76	2
761	1
767	1
768	1
769	1
77	2
776	1
78	3
79	2
7th	3
8	32
80	2
801	4
803	1
809	5
81	3
82	1
825	1
83	2
831	1
84	5
84116	4
845	1
85	3
851	1
86	2
87	2
88	3
880	1
89	3
9	28
90	10
91	4
92	4
93	3
94	3
948	1
95	2
96	4
97	3
98	3
980	1
986	1
99	4
99712	2
99775	2
9th	1
^a	2488
^age	1
^etre	2
`a	28
a	11000
a"ie	3
abandon	8
abandon^a	6
abandoned	14
abandonment	2
abandons	1
abantes	2
abantian	1
abas	1
abasement	1
abash^a	2
abashed	3
abasing	1
abate	1
abatement	1
abbas	1
abbey	1
aber	1
aberrations	1
abhor	5
abhorr^a	5
abhorred	12
abhorrence	7
abhorrent	1
abhors	2
abide	4
abilities	6
ability	7
abion	2
abject	4
abjures	1
able	85
ablerus	1
ablest	2
ablution	1
ablutions	2
abnormally	1
aboard	1
abode	24
abodes	27
abolished	2
abolition	1
abominable	5
abominably	2
abortion	1
abortive	1
abound	1
abounding	1
about	960
above	205
abreast	1
abridgement	1
abroad	69
abrupt	5
abruptly	9
abruptness	1
absence	44
absences	1
absent	19
absently	2
absolute	6
absolutely	39
absolution	4
absorb	1
absorbed	33
absorbing	6
abstain	2
abstained	1
abstaining	2
abstemious	1
abstract	3
abstractly	2
abstruse	1
absurd	28
absurdities	4
absurdity	2
absurdly	2
abundance	6
abundant	1
abundantly	3
abuse	4
abused	3
abuses	1
abusing	3
abydos	2
abydos^a	1
abyss	5
abysses	2
acacia	1
acacias	4
academy	3
acamas	8
acceded	1
accent	13
accents	12
accentuating	1
accept	33
acceptable	9
acceptance	3
acceptation	1
accepted	36
accepting	12
accepts	2
access	44
accessed	4
accessibility	1
accessible	5
accidens	1
accident	17
accidental	4
accidentally	6
accidents	7
acclaim	6
acclamations	3
accommodated	1
accompanied	22
accompaniment	7
accompaniments	1
accompany	11
accompanying	4
accomplice	1
accomplish	4
accomplished	21
accomplishment	2
accomplishments	5
accord	7
accordance	23
accorded	2
according	46
accordingly	16
accords	1
accosted	5
accosts	3
account	99
accounted	2
accounts	20
accumulated	7
accumulating	1
accumulation	2
accuracy	3
accurate	5
accurately	1
accursed	12
accusation	2
accusations	1
accuse	6
accused	11
accuses	2
